Generated data
------------------------
Period	Type	Category	Account	Cost Centre	Description	Amount
3/4/2018	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-39340.06
3/5/2018	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-26434.75
3/6/2018	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-12276.24
3/7/2018	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-55672.3
3/8/2018	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-98964.45
3/9/2018	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-89495.99
3/10/2018	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-88308.33
3/11/2018	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-38104.36
3/12/2018	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-99897.1
3/1/2017	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-59686.35
3/2/2017	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-66856.9
3/3/2017	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-48872.56
3/4/2017	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-48336.22
3/5/2017	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-49841.17
3/6/2017	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-98800.67
3/7/2017	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-1807.04
3/8/2017	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-77306.11
3/9/2017	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-95934.26
3/10/2017	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-84493.32
3/11/2017	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-89779.93
3/12/2017	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-86433.75
3/1/2016	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-82361.22
3/2/2016	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-68913.26
3/3/2016	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-70965.31
3/4/2016	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-67337.78
3/5/2016	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-74348.81
3/6/2016	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-47987.45
3/7/2016	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-43224.5
3/8/2016	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-30794.98
3/9/2016	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-7199.07
3/10/2016	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-3523.75
3/11/2016	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-99221.74
3/12/2016	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-74320.35
3/1/2015	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-24342.38
3/2/2015	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-19382.41
3/3/2015	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-12693.07
3/4/2015	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-30131.13
3/5/2015	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-37510.76
3/6/2015	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-55679.8
3/7/2015	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-68206.06
3/8/2015	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-88019.96
3/9/2015	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-142.77
3/10/2015	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-86968.5
3/11/2015	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-52979.85
3/12/2015	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-85072.28
3/1/2014	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-54667.84
3/2/2014	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-884.25
3/3/2014	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-62549.45
3/4/2014	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-57748.2
3/5/2014	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-7665.41
3/6/2014	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-98813.82
3/7/2014	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-24005.53
3/8/2014	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-2254.84
3/9/2014	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-64699.25
3/10/2014	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-44772.76
3/11/2014	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-35614.85
3/12/2014	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-31570.97
3/1/2013	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-245.21
3/2/2013	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-42223.58
3/3/2013	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-63210.9
3/4/2013	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-85487.99
3/5/2013	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-38944.8
3/6/2013	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-58653.26
3/7/2013	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-50827.94
3/8/2013	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-12488.59
3/9/2013	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-26313.27
3/10/2013	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-10725.78
3/11/2013	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-86977.57
3/12/2013	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-55752.31
3/1/2012	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-62864.22
3/2/2012	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-16091.03
3/3/2012	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-87532.95
3/4/2012	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-81860.87
3/5/2012	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-14332.22
3/6/2012	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-34576.12
3/7/2012	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-97008.02
3/8/2012	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-26467.7
3/9/2012	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-60080.67
3/10/2012	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-50623.86
3/11/2012	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-93248.37
3/12/2012	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-25402.25
3/1/2011	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-89633.12
3/2/2011	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-60524.87
3/3/2011	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-23274.77
3/4/2011	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-42573.85
3/5/2011	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-89051.29
3/6/2011	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-32138.76
3/7/2011	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-87320.11
3/8/2011	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-47893.86
3/9/2011	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-62834.29
3/10/2011	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-95294.61
3/11/2011	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-85903.43
3/12/2011	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-21893.24
3/1/2010	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-17223.48
3/2/2010	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-72774.52
3/3/2010	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-95687.85
3/4/2010	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-91871.2
3/5/2010	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-57463.71
3/6/2010	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-63704.67
3/7/2010	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-81881.06
3/8/2010	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-47638.12
3/9/2010	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-14464.79
3/10/2010	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-21105.75
3/11/2010	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-85445.85
3/12/2010	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-98232.53
3/1/2009	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-11951.37
3/2/2009	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-33160.39
3/3/2009	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-23908.46
3/4/2009	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-53042.14
3/5/2009	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-27646.37
3/6/2009	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-88205.76
3/7/2009	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-31066.71
3/8/2009	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-32542.19
3/9/2009	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-91463.47
3/10/2009	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-26652.78
3/11/2009	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-45619.92
3/12/2009	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-27830.77
3/1/2008	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-44248.41
3/2/2008	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-40093.45
3/3/2008	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-89991.57
3/4/2008	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-67836.46
3/5/2008	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-83292.61
3/6/2008	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-59170.28
3/7/2008	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-87128.69
3/8/2008	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-32565.35
3/9/2008	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-43540.62
3/10/2008	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-55471.87
3/11/2008	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-85385.88
3/12/2008	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-23289.37
3/1/2007	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-75944.19
3/2/2007	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-99289.96
3/3/2007	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-46102.33
3/4/2007	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-75340.88
3/5/2007	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-34979.93
3/6/2007	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-71875.53
3/7/2007	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-71798.46
3/8/2007	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-38816.0
3/9/2007	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-95046.36
3/10/2007	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-22752.3
3/11/2007	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-34061.88
3/12/2007	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-97455.31
3/1/2006	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-11548.33
3/2/2006	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-6111.73
3/3/2006	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-49280.71
3/4/2006	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-15920.42
3/5/2006	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-70133.25
3/6/2006	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-32326.45
3/7/2006	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-28720.21
3/8/2006	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-61026.3
3/9/2006	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-52905.96
3/10/2006	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-8360.98
3/11/2006	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-698.66
3/12/2006	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-21582.05
3/1/2005	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-54696.31
3/2/2005	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-33472.13
3/3/2005	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-88865.4
3/4/2005	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-34745.55
3/5/2005	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-78774.47
3/6/2005	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-52741.14
3/7/2005	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-93836.25
3/8/2005	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-6465.69
3/9/2005	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-33193.86
3/10/2005	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-37753.06
3/11/2005	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-94795.32
3/12/2005	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-41548.85
3/1/2004	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-43781.36
3/2/2004	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-49357.58
3/3/2004	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-18439.75
3/4/2004	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-17174.4
3/5/2004	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-72931.12
3/6/2004	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-53874.26
3/7/2004	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-87946.32
3/8/2004	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-83895.67
3/9/2004	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-23245.5
3/10/2004	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-63415.21
3/11/2004	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-99432.36
3/12/2004	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-37746.7
3/1/2003	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-94614.45
3/2/2003	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-91855.15
3/3/2003	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-60833.41
3/4/2003	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-85936.11
3/5/2003	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-3557.36
3/6/2003	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-98220.96
3/7/2003	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-38614.56
3/8/2003	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-91755.27
3/9/2003	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-25954.76
3/10/2003	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-31020.53
3/11/2003	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-86582.3
3/12/2003	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-20557.59
3/1/2002	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-12805.86
3/2/2002	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-75750.21
3/3/2002	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-54502.59
3/4/2002	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-99398.44
3/5/2002	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-54733.0
3/6/2002	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-50662.11
3/7/2002	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-1632.43
3/8/2002	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-27719.87
3/9/2002	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-56428.2
3/10/2002	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-78405.36
3/11/2002	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-92535.09
3/12/2002	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-71546.03
3/1/2001	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-26748.31
3/2/2001	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-85922.9
3/3/2001	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-72270.85
3/4/2001	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-12940.18
3/5/2001	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-96246.23
3/6/2001	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-7725.05
3/7/2001	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-42517.94
3/8/2001	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-18742.53
3/9/2001	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-65043.99
3/10/2001	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-52788.92
3/11/2001	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-57260.0
3/12/2001	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-48596.72
3/1/2000	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-10427.22
3/2/2000	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-78034.13
3/3/2000	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-68157.65
3/4/2000	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-94875.7
3/5/2000	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-19368.32
3/6/2000	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-99259.96
3/7/2000	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-54312.69
3/8/2000	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-96794.55
3/9/2000	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-48554.93
3/10/2000	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-82877.03
3/11/2000	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-47481.11
3/12/2000	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-4272.15
3/1/1999	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-72021.99
3/2/1999	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-6579.46
3/3/1999	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-33829.15
3/4/1999	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-16401.9
3/5/1999	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-89459.12
3/6/1999	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-60315.78
3/7/1999	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-69731.71
3/8/1999	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-78365.53
3/9/1999	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-28315.7
3/10/1999	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-88335.22
3/11/1999	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-93923.49
3/12/1999	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-32888.72
3/1/1998	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-137.99
3/2/1998	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-370.45
3/3/1998	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-71590.5
3/4/1998	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-76084.44
3/5/1998	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-2352.38
3/6/1998	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-95966.96
3/7/1998	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-88950.86
3/8/1998	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-77878.1
3/9/1998	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-30950.63
3/10/1998	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-49523.84
3/11/1998	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-59000.95
3/12/1998	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-35596.39
3/1/1997	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-37895.07
3/2/1997	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-60015.67
3/3/1997	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-22933.49
3/4/1997	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-32919.57
3/5/1997	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-88885.78
3/6/1997	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-40890.73
3/7/1997	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-24216.18
3/8/1997	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-9081.02
3/9/1997	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-99628.84
3/10/1997	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-69185.44
3/11/1997	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-77742.27
3/12/1997	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-52363.96
3/1/1996	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-10805.12
3/2/1996	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-16025.84
3/3/1996	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-18379.75
3/4/1996	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-93552.4
3/5/1996	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-84849.26
3/6/1996	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-59348.5
3/7/1996	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-5281.95
3/8/1996	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-1921.39
3/9/1996	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-71223.94
3/10/1996	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-6832.15
3/11/1996	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-34186.54
3/12/1996	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-88350.04
3/1/1995	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-91817.23
3/2/1995	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-83281.02
3/3/1995	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-2271.36
3/4/1995	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-62689.07
3/5/1995	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-99777.54
3/6/1995	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-63518.81
3/7/1995	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-65554.59
3/8/1995	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-99121.78
3/9/1995	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-93574.03
3/10/1995	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-44031.29
3/11/1995	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-74051.85
3/12/1995	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-80554.91
3/1/1994	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-19442.79
3/2/1994	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-20603.59
3/3/1994	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-38717.11
3/4/1994	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-66238.36
3/5/1994	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-71030.41
3/6/1994	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-80557.04
3/7/1994	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-82668.72
3/8/1994	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-15001.24
3/9/1994	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-56781.5
3/10/1994	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-19455.3
3/11/1994	Actual	Income	Rendering of services	Sales	Rendering of services monthly transactions	-79186.21
3/12/1994	Actual	Income	Sale of products	Sales	Sale of products monthly transactions	-87370.83
